window,feature,tercile,n,fwd5_mean,fwd5_win
W5 2024-06-2024-12,malignment,2,47343,0.9521333131127676,0.46547536066577955
W5 2024-06-2024-12,mom20,0,50545,0.4224434937411757,0.44809575625680087
W5 2024-06-2024-12,mom20,1,52229,1.4906883865584926,0.49560588944839074
W5 2024-06-2024-12,mom20,2,62790,1.7446597609748142,0.5149864628125498
W5 2024-06-2024-12,mom60,0,57282,0.6788738792479656,0.4463182151461192
W5 2024-06-2024-12,mom60,1,41356,1.4346336042570338,0.4758680723474224
W5 2024-06-2024-12,mom60,2,66599,1.658039140956515,0.5327257166023514
W5 2024-06-2024-12,vr20,0,50761,1.1470532786269683,0.4979413329130632
W5 2024-06-2024-12,vr20,1,55869,1.2038962389767245,0.4988276145984356
W5 2024-06-2024-12,vr20,2,58942,1.4132442793583013,0.4704455227172475
W6 2024-12-2025-06,malignment,1,109019,0.304302449271235,0.5096817985855676
W6 2024-12-2025-06,malignment,2,53700,0.15475490077941909,0.4698696461824953
W6 2024-12-2025-06,mom20,0,46415,1.3358451767939155,0.581493051815146
W6 2024-12-2025-06,mom20,1,55904,-0.11936558560774385,0.48288136805953064
W6 2024-12-2025-06,mom20,2,60181,-0.2157288823812788,0.4441767335205464
W6 2024-12-2025-06,mom60,0,23962,1.1805470008223624,0.5492446373424589
W6 2024-12-2025-06,mom60,1,61583,0.7151393243037527,0.5485280028579316
W6 2024-12-2025-06,mom60,2,76544,-0.39612968733638965,0.4384928929765886
W6 2024-12-2025-06,vr20,0,55795,-0.08829046481225095,0.49285778295546195
W6 2024-12-2025-06,vr20,1,54941,0.5293958749499471,0.5180102291549117
W6 2024-12-2025-06,vr20,2,51775,0.3512358736984005,0.4782617093191695
W7 2025-06-2025-12,malignment,1,107533,0.895662016004461,0.536579468628235
W7 2025-06-2025-12,malignment,2,61361,0.5743396173402517,0.4864001564511661
W7 2025-06-2025-12,mom20,0,27976,0.9750851994930074,0.5440734915641979
W7 2025-06-2025-12,mom20,1,72421,0.8625641965254887,0.5399538807804366
W7 2025-06-2025-12,mom20,2,68401,0.61493575676515,0.48509524714550956
W7 2025-06-2025-12,mom60,0,18226,1.0227451858805336,0.546691539558872
W7 2025-06-2025-12,mom60,1,52092,0.9131502168098206,0.5531751516547646
W7 2025-06-2025-12,mom60,2,98337,0.6668089625751727,0.49481883726369524
W7 2025-06-2025-12,vr20,0,53321,0.8921491116083259,0.5337671836612217
W7 2025-06-2025-12,vr20,1,56818,0.8743220360498173,0.535640114048365
W7 2025-06-2025-12,vr20,2,58663,0.589710999238335,0.4877861684537102
W8 2025-12-2026-06,malignment,1,112576,0.08809081999792333,0.4713882177373508
W8 2025-12-2026-06,malignment,2,50002,0.5782889344728186,0.4881804727810888
W8 2025-12-2026-06,mom20,0,44906,0.15810574910498754,0.48410012025119137
W8 2025-12-2026-06,mom20,1,60456,0.0843669373197638,0.4709210003969829
W8 2025-12-2026-06,mom20,2,57152,0.46686841667864554,0.4765887458006719
W8 2025-12-2026-06,mom60,0,33017,0.16109726190000642,0.486325226398522
W8 2025-12-2026-06,mom60,1,63216,0.35847775105945195,0.49297646165527714
W8 2025-12-2026-06,mom60,2,66030,0.1585710682973787,0.4560957140693624
W8 2025-12-2026-06,vr20,0,47264,0.03387983917800141,0.46445497630331756
W8 2025-12-2026-06,vr20,1,57224,0.13654970750980064,0.4699077310219488
W8 2025-12-2026-06,vr20,2,58030,0.5079962130504406,0.49296915388592105
W9 2026-06-2026-09,malignment,1,78149,-0.2429682274218964,0.42692804770374543
W9 2026-06-2026-09,malignment,2,26365,-0.6991944595834613,0.4034136165370757
W9 2026-06-2026-09,mom20,0,44754,-0.04124739103359098,0.4290789650087143
W9 2026-06-2026-09,mom20,1,28055,-0.24720972936466928,0.4224202459454643
W9 2026-06-2026-09,mom20,2,31705,-0.9033443064522543,0.4083267623403249
W9 2026-06-2026-09,mom60,0,56835,0.45220932457954266,0.47208586258467494
W9 2026-06-2026-09,mom60,1,27270,-0.7854291709625072,0.381004767143381
W9 2026-06-2026-09,mom60,2,20409,-2.0434440394944526,0.3321573815473566
W9 2026-06-2026-09,vr20,0,30818,-0.18920113141891065,0.419105717437861
W9 2026-06-2026-09,vr20,1,41680,-0.1289326605047991,0.4389635316698656
W9 2026-06-2026-09,vr20,2,32016,-0.8188803152737307,0.3994252873563218
