code,industry,seg_gain,pos_in_ind,w_start,w_end,ind_str
sz.002627,N78公共设施管理业,-0.040293097496032715,0.4166666666666667,2024-12-05,2024-12-24,0.4854971415871292
sz.002632,C26化学原料和化学制品制造业,0.00788426399230957,0.5949820788530465,2021-08-24,2021-09-28,0.5957962094531348
sz.002641,C29橡胶和塑料制品业,0.020785212516784668,0.525,2025-02-07,2025-03-31,0.5489958398734673
sz.002642,I65软件和信息技术服务业,-0.018134713172912598,0.45345345345345345,2025-02-06,2025-03-31,0.9931014231289645
sz.002644,C27医药制造业,0.06088995933532715,0.5620915032679739,2025-07-14,2025-09-17,0.42852905329909063
sz.002648,C26化学原料和化学制品制造业,-0.038802385330200195,0.4838709677419355,2021-08-24,2021-09-28,0.5957962094531348
sz.002649,I65软件和信息技术服务业,-0.025584876537322998,0.4444444444444444,2025-02-06,2025-03-31,0.9931014231289645
sz.002657,I65软件和信息技术服务业,-0.01719057559967041,0.4594594594594595,2025-02-06,2025-03-31,0.9931014231289645
sz.002668,C38电气机械和器材制造业,-0.008733630180358887,0.4720496894409938,2025-02-21,2025-03-28,0.5396953562537379
sz.002671,C30非金属矿物制品业,-0.010989010334014893,0.45098039215686275,2025-02-20,2025-03-28,0.49004041596493786
sz.002681,C39计算机、通信和其他电子设备制造业,-0.009198486804962158,0.5768621236133122,2025-02-06,2025-03-31,0.7052183862600268
sz.002686,C34通用设备制造业,0.07495427131652832,0.5110132158590308,2025-02-06,2025-04-01,0.8469397535686931
sz.002688,C27医药制造业,0.05200600624084473,0.5294117647058824,2025-07-14,2025-09-17,0.42852905329909063
sz.002697,F52零售业,-0.09688019752502441,0.5,2024-12-10,2025-01-06,0.7116996522413985
sz.002709,C39计算机、通信和其他电子设备制造业,-0.01997894048690796,0.4928684627575277,2025-02-06,2025-03-31,0.7052183862600268
sz.002721,C24文教、工美、体育和娱乐用品制造业,0.019685029983520508,0.4583333333333333,2025-02-05,2025-03-28,0.6663157991790105
sz.002726,C13农副食品加工业,0.0016129016876220703,0.421875,2025-02-20,2025-03-28,0.3492297720560693
sz.002727,F52零售业,-0.12290507555007935,0.42391304347826086,2024-12-10,2025-01-06,0.7116996522413985
sz.002736,J67资本市场服务,-0.0695422887802124,0.4107142857142857,2024-11-28,2025-01-02,0.4754546275184952
