signal_id,code,date,weekly_passed,sv_legacy,td_legacy,weekly_daily_cell,t_eff,eff_delta,weekday_path,matured_1,matured_3,matured_30,overnight_gap,fwd1,fwd2,matured_2,fwd3,fwd30,next_day_open_to_close,next_day_high_vs_signal_close,next_day_low_vs_signal_close,peak3_return,peak3_session_offset,giveback_from_peak3,early3_up_then_flat,mae3_full,mfe3_full,mae30_full,mfe30_full,matured_week,next_week_sessions,next_week_open_gap,next_week_high,next_week_low,next_week_return,matured_week_remaining,week_remaining_return,week_remaining_high,week_remaining_sessions
000723_2026-02-06,000723,2026-02-06,False,False,False,0_0,0.1779,-1.633,completed_week,True,True,True,0.0020283975659229903,0.016227180527383478,0.0,True,0.0,-0.0040567951318457585,0.014170040485829816,0.022312373225152227,0.0020283975659229903,0.022312373225152227,1,-0.02182539682539686,False,-0.010141987829614618,0.022312373225152227,-0.04056795131845825,0.15212981744421916,True,5.0,0.0020283975659229903,0.022312373225152227,-0.04056795131845825,-0.03853955375253537,False,,,
000723_2026-02-10,000723,2026-02-10,,False,False,0_0,,,tuesday_gate_failed,True,True,True,-0.0020283975659228792,0.0,-0.014198782961460377,True,-0.03853955375253537,-0.03448275862068961,0.00203252032520318,0.01217038539553772,-0.010141987829614618,0.014198782961460488,0,-0.051999999999999935,False,-0.04056795131845825,0.014198782961460488,-0.05070993914807298,0.15212981744421916,False,,,,,,False,-0.03853955375253537,0.014198782961460488,3.0
000723_2026-02-12,000723,2026-02-12,False,False,False,0_0,,,midweek_partial,True,True,True,0.0,-0.024691358024691357,0.026748971193415683,True,0.043209876543209846,-0.09053497942386834,-0.024691358024691357,0.00411522633744843,-0.02674897119341557,0.06172839506172845,0,-0.0174418604651162,False,-0.02674897119341557,0.06172839506172845,-0.09053497942386834,0.16872427983539073,False,,,,,,False,-0.024691358024691357,0.00411522633744843,1.0
000723_2026-02-24,000723,2026-02-24,,False,False,0_0,,,tuesday_gate_failed,True,True,True,-0.006012024048096198,0.01603206412825653,0.006012024048096309,True,0.05010020040080154,-0.08016032064128265,0.022177419354838745,0.03406813627254501,-0.008016032064128265,0.05611222444889785,0,-0.005692599620493399,False,-0.008016032064128265,0.05611222444889785,-0.11422845691382766,0.13827655310621223,True,5.0,0.07615230460921851,0.13226452905811636,0.02204408817635284,0.06212424849699394,False,0.05010020040080154,0.05611222444889785,3.0
000723_2026-02-26,000723,2026-02-26,True,False,False,1_0,2.6141,-1.4345,midweek_partial,True,True,True,-0.0019920318725100694,0.043824701195219085,0.05378486055776888,True,0.09760956175298796,-0.09960159362549803,0.045908183632734634,0.04980079681274896,-0.005976095617529875,0.12549800796812738,0,-0.024778761061946986,False,-0.005976095617529875,0.12549800796812738,-0.11952191235059773,0.13147410358565725,True,5.0,0.06972111553784854,0.12549800796812738,0.015936254980079667,0.055776892430278835,False,0.043824701195219085,0.04980079681274896,1.0
000723_2026-03-02,000723,2026-03-02,True,False,False,1_0,6.1635,2.1149,monday,True,True,True,0.003780718336483968,0.041587901701323204,-0.009451795841209809,True,0.009451795841209698,-0.14366729678638934,0.03766478342749524,0.06805293005671076,-0.011342155009451682,0.06805293005671076,1,-0.05486725663716818,True,-0.03591682419659725,0.06805293005671076,-0.16446124763705106,0.07372400756143671,True,5.0,0.041587901701323204,0.07372400756143671,-0.013232514177693777,0.03402646502835527,False,0.001890359168241984,0.06805293005671076,4.0
000723_2026-03-04,000723,2026-03-04,False,False,False,0_0,,,midweek_partial,True,True,True,0.00190839694656475,0.01908396946564883,0.011450381679389166,True,0.03244274809160297,-0.12595419847328249,0.017142857142857126,0.06870229007633588,-0.026717557251908386,0.08396946564885477,0,-0.047535211267605515,False,-0.026717557251908386,0.08396946564885477,-0.1564885496183207,0.08396946564885477,True,5.0,0.0515267175572518,0.08396946564885477,-0.003816793893129833,0.043893129770992356,False,0.011450381679389166,0.06870229007633588,2.0
000723_2026-03-06,000723,2026-03-06,False,False,False,0_0,0.5938,-7.8948,completed_week,True,True,True,0.039622641509434064,0.020754716981132182,-0.0037735849056602655,True,0.020754716981132182,-0.15094339622641506,-0.01814882032667875,0.07169811320754715,0.015094339622641506,0.07169811320754715,1,-0.047535211267605515,True,-0.015094339622641506,0.07169811320754715,-0.16603773584905657,0.07169811320754715,True,5.0,0.039622641509434064,0.07169811320754715,-0.015094339622641506,0.03207547169811309,False,,,
000723_2026-03-10,000723,2026-03-10,,False,False,0_0,,,tuesday_gate_failed,True,True,True,0.0,0.024621212121212155,0.037878787878787845,True,0.0359848484848484,-0.15909090909090906,0.024621212121212155,0.02651515151515138,-0.011363636363636465,0.07575757575757569,0,-0.0369718309859155,False,-0.011363636363636465,0.07575757575757569,-0.16287878787878796,0.07575757575757569,True,5.0,0.03977272727272729,0.07386363636363624,-0.053030303030303094,-0.045454545454545525,False,0.0359848484848484,0.07575757575757569,3.0
000723_2026-03-12,000723,2026-03-12,False,False,False,0_0,,,midweek_partial,True,True,True,0.012773722627737127,-0.0018248175182482562,-0.014598540145985384,True,0.010948905109488871,-0.1970802919708029,-0.014414414414414378,0.03649635036496335,-0.010948905109489093,0.03649635036496335,1,-0.02464788732394363,True,-0.0529197080291971,0.03649635036496335,-0.1970802919708029,0.03649635036496335,True,5.0,0.0018248175182480342,0.034671532846715314,-0.08759124087591252,-0.08029197080291972,False,-0.0018248175182482562,0.03649635036496335,1.0
