code,date,weekday,regime,trend,label,mom_origin,fwd5,fwd10,fwd20,mae10,mfe10,half,date_ts,industry,trend_age,amount_relative_20d,return_realized_5d,hard_gate,age_bin,volume_stagnation,fwd10_industry_peer_median,fwd10_industry_demeaned
603699,2025-03-10,0,bull,ma_bull,two_day_acceleration,current_week,-0.0246865203761754,0.0607366771159874,-0.1128526645768024,-0.0356583072100313,0.0717084639498433,2025H1,2025-03-10,sw_l1:801890,0.0,1.196811,0.051773,True,0-5,False,-0.0337986774430565,0.09453535455904391
603699,2025-03-11,1,bull,ma_bull,pullback_holds,current_week,0.0328192961644919,0.084618426255437,-0.111111111111111,-0.0268880980624752,0.1035982601818901,2025H1,2025-03-11,sw_l1:801890,0.0,0.68069,-0.000395,True,0-5,False,-0.0644996258332093,0.1491180520886463
603699,2025-03-24,0,mid,none,two_day_acceleration,current_week,0.0227857405365674,-0.1679529584711503,-0.1021683204704153,-0.1984564498346197,0.0841602352076442,2025H1,2025-03-24,sw_l1:801890,3.0,1.145984,0.087585,False,0-5,False,-0.1974420463629096,0.029489087891759302
603699,2025-03-27,3,mid,none,shrinking_volume_acceleration,current_week,-0.0329549615525449,-0.1025265470523617,0.0007323324789454,-0.2013914317099964,0.0801904064445258,2025H1,2025-03-27,sw_l1:801890,6.0,1.003224,0.033738,False,6-20,False,-0.10384608431721776,0.0013195372648560633
603699,2025-04-01,1,mid,macd_cross,two_day_acceleration,current_week,-0.2194444444444444,-0.182986111111111,-0.0701388888888888,-0.2427083333333334,0.0243055555555555,2025H1,2025-04-01,sw_l1:801890,9.0,1.879411,0.047393,True,6-20,False,-0.0882708585247883,-0.09471525258632268
603699,2025-05-07,2,bull,none,shrinking_volume_acceleration,current_week,0.0273972602739724,0.0766382821177342,0.2443539429840799,-0.007774898185857,0.0936690114772305,2025H1,2025-05-07,sw_l1:801890,4.0,1.175705,-0.010611,False,0-5,False,-0.0425716768027801,0.11920995892051431
603699,2025-05-08,3,bull,none,shrinking_volume_acceleration,current_week,0.0127737226277371,0.0795620437956203,0.224817518248175,-0.004014598540146,0.0846715328467151,2025H1,2025-05-08,sw_l1:801890,5.0,0.684735,-0.000365,False,0-5,False,-0.01235366786281545,0.09191571165843576
603699,2025-05-09,4,bull,none,shrinking_volume_acceleration,current_week,-0.002856122813281,0.0685469475187432,0.2277757943591574,-0.0174937522313459,0.0792574080685468,2025H1,2025-05-09,sw_l1:801890,6.0,0.652791,0.003609,False,6-20,False,-0.0153374233128835,0.0838843708316267
603699,2025-05-20,1,bull,ma_bull,shrinking_volume_acceleration,current_week,0.0587614356087262,0.1798029556650247,0.1928219563687543,-0.0031667839549612,0.1843771991555243,2025H1,2025-05-20,sw_l1:801890,13.0,0.667904,-0.003509,True,6-20,False,-0.022409538855036402,0.2022124945200611
603699,2025-05-21,2,bull,ma_bull,two_day_acceleration,current_week,0.0725335166723959,0.1553798556204881,0.1344104503265726,-0.005156411137848,0.1663801993812306,2025H1,2025-05-21,sw_l1:801890,14.0,1.290012,0.047928,True,6-20,False,0.0167164179104477,0.1386634377100404
603699,2025-06-11,2,bull,ma_bull,shrinking_volume_acceleration,current_week,0.0089285714285713,-0.0330357142857142,-0.0946428571428571,-0.0610119047619047,0.0354166666666666,2025H1,2025-06-11,sw_l1:801890,28.0,0.991297,0.005965,True,21-60,False,0.004920838682071,-0.037956552967785204
603699,2025-06-18,2,bull,ma_bull,pullback_holds,current_week,-0.0430044182621502,-0.0980854197349043,-0.1160530191458026,-0.1184094256259206,0.0044182621502208,2025H1,2025-06-18,sw_l1:801890,0.0,0.780302,0.00504,True,0-5,False,-0.0263881763818595,-0.0716972433530448
603699,2025-07-04,4,bull,ma_bull,pullback_holds,current_week,-0.0459659273545484,-0.0366441658630665,-0.0562520090003214,-0.0646094503375119,0.0041787206685954,2025H2,2025-07-04,sw_l1:801890,0.0,0.789977,0.003857,True,0-5,False,0.048048048048048,-0.0846922139111145
603699,2025-07-16,2,bull,none,pullback_holds,current_week,-0.0156862745098039,-0.0522875816993464,0.0784313725490195,-0.0571895424836601,0.030065359477124,2025H2,2025-07-16,sw_l1:801890,0.0,1.382473,-0.013478,False,0-5,False,0.0130283557204358,-0.0653159374197822
603699,2025-07-17,3,bull,none,pullback_holds,current_week,-0.032183908045977,-0.0528735632183907,0.0755336617405584,-0.0551724137931034,0.0351395730706076,2025H2,2025-07-17,sw_l1:801890,0.0,1.403974,0.025943,False,0-5,False,0.01115039511739645,-0.06402395833578715
